time,total_cab_power
39900.0,29990.818336
39960.0,29747.528588999998
40020.0,30097.945009
40080.0,28901.339575
40140.0,30694.797491999998
40200.0,30477.755788
40260.0,14762.091765
40320.0,14080.72
40380.0,13937.209407
40440.0,14330.43014
40500.0,15057.229031
40560.0,14747.660405999999
40620.0,14871.21847
40680.0,14972.66
40740.0,15048.150578
40800.0,15013.46846
40860.0,14968.954533
40920.0,14836.9
40980.0,15059.52608
41040.0,15008.16071
41100.0,15166.19927
41160.0,14150.199257
41220.0,14460.987733
41280.0,13725.717756
41340.0,14683.853079999999
41400.0,14854.04542
41460.0,15112.85307
41520.0,15195.84668
41580.0,14779.935261999999
41640.0,14277.756893
41700.0,14516.891574
41760.0,14631.56238
41820.0,15000.640807
41880.0,14844.11145
41940.0,14666.562365
42000.0,14737.876062
42060.0,14527.66079
42120.0,14972.680053
42180.0,14484.98
42240.0,13897.108548999999
42300.0,14417.77606
42360.0,15218.380000000001
42420.0,14478.06461
42480.0,14600.444663999999
42540.0,14876.856462
42600.0,14871.78
42660.0,14662.679976
42720.0,15149.77622
42780.0,15092.083859999999
42840.0,14958.209418999999
42900.0,14637.16073
42960.0,14949.189785
43020.0,14830.43004
43080.0,14978.46432
43140.0,14837.69924
43200.0,13457.468455999999
43260.0,14836.968447
43320.0,14774.307522000001
43380.0,14661.091729
43440.0,14845.76
43500.0,15135.622360000001
43560.0,15235.013332999999
43620.0,14371.58387
43680.0,14542.98
43740.0,15060.562329
43800.0,14248.04
43860.0,15014.045437
43920.0,14587.776177
43980.0,15134.6604
44040.0,14864.064583
44100.0,14587.16
44160.0,13168.622327
44220.0,11813.910769
44280.0,14310.31464
44340.0,14964.797644999999
44400.0,14857.179979999999
44460.0,14985.33391
44520.0,14413.50686
44580.0,14322.622334
44640.0,14406.987687
44700.0,14214.69922
44760.0,14861.3915
44820.0,15321.82
44880.0,14866.56461
44940.0,14966.778065
45000.0,14695.218473
45060.0,15068.444755
45120.0,14227.072179
45180.0,13776.425091
45240.0,14514.562258
45300.0,14873.16077
45360.0,14622.58383
45420.0,14289.660737
45480.0,14952.06468
45540.0,14905.111377
45600.0,14774.758444
45660.0,14979.366325
45720.0,14439.601611
45780.0,14772.170493
45840.0,14872.103009999999
45900.0,29066.458064
45960.0,14636.660420999999
46020.0,14262.227111
46080.0,14789.268221
46140.0,13986.699191
46200.0,14113.526182
46260.0,14779.719184
46320.0,14728.85313
46380.0,14759.583795999999
46440.0,14457.679934
